Datum	Pressure(kPa)
1	  -3.803
2	  -3.803
3	  -3.803
4	  -3.803
5	  -3.814
6	  -3.803
7	  -3.803
8	  -3.793
9	  -3.793
10	  -3.803
11	  -3.803
12	  -3.793
13	  -3.803
14	  -3.803
15	  -3.803
16	  -3.793
17	  -3.803
18	  -3.803
19	  -3.803
20	  -3.793
21	  -3.803
22	  -3.803
23	  -3.793
24	  -3.793
25	  -3.793
