Datum	Pressure(kPa)
1	   5.771
2	   5.781
3	   5.781
4	   5.771
5	   5.781
6	   5.781
7	   5.771
8	   5.781
9	   5.781
10	   5.771
11	   5.781
12	   5.781
13	   5.771
14	   5.781
15	   5.771
16	   5.781
17	   5.771
18	   5.771
19	   5.771
20	   5.781
21	   5.781
22	   5.781
23	   5.781
24	   5.781
25	   5.771
