Datum	Pressure(kPa)
1	  -6.412
2	  -6.412
3	  -6.412
4	  -6.412
5	  -6.412
6	  -6.423
7	  -6.412
8	  -6.412
9	  -6.423
10	  -6.423
11	  -6.423
12	  -6.423
13	  -6.423
14	  -6.423
15	  -6.423
16	  -6.423
17	  -6.423
18	  -6.423
19	  -6.433
20	  -6.433
21	  -6.423
22	  -6.423
23	  -6.423
24	  -6.423
25	  -6.423
