Datum	Pressure(kPa)
1	   4.019
2	   4.019
3	   4.019
4	   4.019
5	   4.008
6	   4.019
7	   4.029
8	   4.019
9	   4.029
10	   4.029
11	   4.029
12	   4.029
13	   4.029
14	   4.029
15	   4.019
16	   4.019
17	   4.029
18	   4.019
19	   4.019
20	   4.019
21	   4.029
22	   4.029
23	   4.029
24	   4.029
25	   4.029
