Datum	Pressure(kPa)
1	  -0.868
2	  -0.868
3	  -0.868
4	  -0.878
5	  -0.878
6	  -0.868
7	  -0.868
8	  -0.868
9	  -0.868
10	  -0.878
11	  -0.878
12	  -0.868
13	  -0.868
14	  -0.868
15	  -0.868
16	  -0.878
17	  -0.868
18	  -0.868
19	  -0.868
20	  -0.868
21	  -0.868
22	  -0.868
23	  -0.868
24	  -0.868
25	  -0.868
