Datum	Pressure(kPa)
1	   2.572
2	   2.562
3	   2.572
4	   2.572
5	   2.562
6	   2.572
7	   2.572
8	   2.572
9	   2.562
10	   2.562
11	   2.572
12	   2.572
13	   2.572
14	   2.572
15	   2.572
16	   2.572
17	   2.572
18	   2.572
19	   2.572
20	   2.583
21	   2.572
22	   2.572
23	   2.572
24	   2.572
25	   2.583
