Datum	Pressure(kPa)
1	   7.122
2	   7.122
3	   7.122
4	   7.122
5	   7.122
6	   7.122
7	   7.133
8	   7.133
9	   7.112
10	   7.122
11	   7.133
12	   7.133
13	   7.122
14	   7.122
15	   7.122
16	   7.133
17	   7.133
18	   7.122
19	   7.122
20	   7.133
21	   7.133
22	   7.122
23	   7.133
24	   7.133
25	   7.133
