Datum	Pressure(kPa)
1	   8.716
2	   8.727
3	   8.716
4	   8.716
5	   8.716
6	   8.716
7	   8.727
8	   8.727
9	   8.727
10	   8.727
11	   8.716
12	   8.727
13	   8.727
14	   8.727
15	   8.716
16	   8.727
17	   8.716
18	   8.716
19	   8.727
20	   8.716
21	   8.727
22	   8.727
23	   8.716
24	   8.727
25	   8.727
