Datum	Pressure(kPa)
1	  10.258
2	  10.268
3	  10.268
4	  10.258
5	  10.268
6	  10.258
7	  10.268
8	  10.268
9	  10.268
10	  10.268
11	  10.258
12	  10.268
13	  10.268
14	  10.258
15	  10.268
16	  10.268
17	  10.268
18	  10.258
19	  10.268
20	  10.258
21	  10.268
22	  10.268
23	  10.247
24	  10.258
25	  10.258
