Datum	Pressure(kPa)
1	   0.978
2	   0.989
3	   0.999
4	   0.989
5	   0.999
6	   0.999
7	   0.999
8	   0.989
9	   0.989
10	   0.999
11	   0.978
12	   0.989
13	   0.989
14	   0.989
15	   0.989
16	   0.989
17	   0.978
18	   0.978
19	   0.989
20	   0.978
21	   0.978
22	   0.978
23	   0.978
24	   0.968
25	   0.968
